歌曲id,曲名,分类,难度标签,定数,类别
579,ポップミュージックは僕のもの,流行&动漫,7,7.0,SD
579,ポップミュージックは僕のもの,流行&动漫,9+,9.9,SD
579,ポップミュージックは僕のもの,流行&动漫,12,12.5,SD
580,吉原ラメント,niconico & VOCALOID,4,4.0,SD
580,吉原ラメント,niconico & VOCALOID,8,8.5,SD
580,吉原ラメント,niconico & VOCALOID,11+,11.8,SD
580,吉原ラメント,niconico & VOCALOID,13+,13.8,SD
581,ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,舞萌,6,6.0,SD
581,ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,舞萌,9,9.3,SD
581,ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,舞萌,13,13.0,SD
581,ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,舞萌,14,14.5,SD
582,幽闇に目醒めしは,东方Project,4,4.0,SD
582,幽闇に目醒めしは,东方Project,6,6.8,SD
582,幽闇に目醒めしは,东方Project,11,11.2,SD
582,幽闇に目醒めしは,东方Project,13,13.3,SD
583,Starlight Vision,东方Project,3,3.0,SD
583,Starlight Vision,东方Project,7+,7.8,SD
583,Starlight Vision,东方Project,11+,11.6,SD
583,Starlight Vision,东方Project,12+,12.7,SD
584,Club Ibuki in Break All,东方Project,5,5.0,SD
584,Club Ibuki in Break All,东方Project,8,8.3,SD
584,Club Ibuki in Break All,东方Project,11,11.2,SD
584,Club Ibuki in Break All,东方Project,13,13.3,SD
585,Phantasm Brigade,东方Project,5,5.0,SD
585,Phantasm Brigade,东方Project,8,8.2,SD
585,Phantasm Brigade,东方Project,11+,11.7,SD
585,Phantasm Brigade,东方Project,13,13.4,SD
586,永遠のメロディ,东方Project,6,6.0,SD
586,永遠のメロディ,东方Project,7,7.3,SD
586,永遠のメロディ,东方Project,10,10.5,SD
586,永遠のメロディ,东方Project,12,12.5,SD
587,白ゆき,niconico & VOCALOID,5,5.0,SD
587,白ゆき,niconico & VOCALOID,8,8.2,SD
587,白ゆき,niconico & VOCALOID,11+,11.7,SD
587,白ゆき,niconico & VOCALOID,13,13.4,SD
589,Panopticon,舞萌,5,5.0,SD
589,Panopticon,舞萌,9,9.5,SD
589,Panopticon,舞萌,12+,12.9,SD
589,Panopticon,舞萌,14,14.4,SD
589,Panopticon,舞萌,14,14.3,SD
592,Sakura Fubuki,其他游戏,5,5.0,SD
592,Sakura Fubuki,其他游戏,8,8.3,SD
592,Sakura Fubuki,其他游戏,12,12.2,SD
592,Sakura Fubuki,其他游戏,13+,13.9,SD
593,conflict,其他游戏,5,5.0,SD
593,conflict,其他游戏,8,8.0,SD
593,conflict,其他游戏,12+,12.7,SD
593,conflict,其他游戏,14,14.2,SD
598,すーぱーぬこになりたい,niconico & VOCALOID,6,6.0,SD
598,すーぱーぬこになりたい,niconico & VOCALOID,8,8.3,SD
598,すーぱーぬこになりたい,niconico & VOCALOID,10+,10.8,SD
598,すーぱーぬこになりたい,niconico & VOCALOID,13+,13.7,SD
599,踊れオーケストラ,niconico & VOCALOID,5,5.0,SD
599,踊れオーケストラ,niconico & VOCALOID,7,7.2,SD
599,踊れオーケストラ,niconico & VOCALOID,9+,9.9,SD
599,踊れオーケストラ,niconico & VOCALOID,12,12.0,SD
601,きらっせ☆ウッド村ファーム,流行&动漫,6,6.0,SD
601,きらっせ☆ウッド村ファーム,流行&动漫,8,8.1,SD
601,きらっせ☆ウッド村ファーム,流行&动漫,10,10.1,SD
601,きらっせ☆ウッド村ファーム,流行&动漫,12+,12.7,SD
602,taboo tears you up,东方Project,6,6.0,SD
602,taboo tears you up,东方Project,8,8.2,SD
602,taboo tears you up,东方Project,11,11.3,SD
602,taboo tears you up,东方Project,13,13.4,SD
603,その群青が愛しかったようだった,音击&中二节奏,5,5.0,SD
603,その群青が愛しかったようだった,音击&中二节奏,7+,7.8,SD
603,その群青が愛しかったようだった,音击&中二节奏,11,11.0,SD
603,その群青が愛しかったようだった,音击&中二节奏,12+,12.7,SD
606,The wheel to the right,音击&中二节奏,7,7.0,SD
606,The wheel to the right,音击&中二节奏,8+,8.9,SD
606,The wheel to the right,音击&中二节奏,13,13.3,SD
606,The wheel to the right,音击&中二节奏,14,14.0,SD
610,リンカーネイション,niconico & VOCALOID,5,5.0,SD
610,リンカーネイション,niconico & VOCALOID,8,8.2,SD
610,リンカーネイション,niconico & VOCALOID,11,11.3,SD
610,リンカーネイション,niconico & VOCALOID,13+,13.8,SD
611,宿題が終わらないっ！,东方Project,5,5.0,SD
611,宿題が終わらないっ！,东方Project,7+,7.6,SD
611,宿題が終わらないっ！,东方Project,10+,10.6,SD
611,宿題が終わらないっ！,东方Project,12+,12.9,SD
612,GO BACK 2 YOUR RAVE,其他游戏,5,5.0,SD
612,GO BACK 2 YOUR RAVE,其他游戏,8,8.5,SD
612,GO BACK 2 YOUR RAVE,其他游戏,12,12.3,SD
612,GO BACK 2 YOUR RAVE,其他游戏,13+,13.9,SD
613,天国と地獄 -言ノ葉リンネ-,舞萌,4,4.0,SD
613,天国と地獄 -言ノ葉リンネ-,舞萌,7+,7.6,SD
613,天国と地獄 -言ノ葉リンネ-,舞萌,11+,11.7,SD
613,天国と地獄 -言ノ葉リンネ-,舞萌,13,13.3,SD
614,夢花火,舞萌,6,6.0,SD
614,夢花火,舞萌,8,8.5,SD
614,夢花火,舞萌,11,11.5,SD
614,夢花火,舞萌,13+,13.7,SD
617,オトヒメモリー☆ウタゲーション,舞萌,5,5.0,SD
617,オトヒメモリー☆ウタゲーション,舞萌,7+,7.8,SD
617,オトヒメモリー☆ウタゲーション,舞萌,11+,11.7,SD
617,オトヒメモリー☆ウタゲーション,舞萌,12+,12.9,SD
618,ラブチーノ,niconico & VOCALOID,4,4.0,SD
618,ラブチーノ,niconico & VOCALOID,7,7.3,SD
618,ラブチーノ,niconico & VOCALOID,9+,9.9,SD
618,ラブチーノ,niconico & VOCALOID,11+,11.9,SD
621,ARROW,niconico & VOCALOID,4,4.0,SD
621,ARROW,niconico & VOCALOID,7+,7.6,SD
621,ARROW,niconico & VOCALOID,12,12.1,SD
621,ARROW,niconico & VOCALOID,13,13.3,SD
622,バッド・ダンス・ホール,niconico & VOCALOID,5,5.0,SD
622,バッド・ダンス・ホール,niconico & VOCALOID,7,7.5,SD
622,バッド・ダンス・ホール,niconico & VOCALOID,11+,11.6,SD
622,バッド・ダンス・ホール,niconico & VOCALOID,13,13.4,SD
624,KISS CANDY FLAVOR,其他游戏,4,4.0,SD
624,KISS CANDY FLAVOR,其他游戏,8,8.3,SD
624,KISS CANDY FLAVOR,其他游戏,11,11.3,SD
624,KISS CANDY FLAVOR,其他游戏,13,13.4,SD
625,Maxi,其他游戏,6,6.0,SD
625,Maxi,其他游戏,9,9.3,SD
625,Maxi,其他游戏,12+,12.8,SD
625,Maxi,其他游戏,14,14.0,SD
626,相思創愛,舞萌,6,6.0,SD
626,相思創愛,舞萌,8+,8.6,SD
626,相思創愛,舞萌,11,11.4,SD
626,相思創愛,舞萌,13,13.5,SD
627,心象蜃気楼,音击&中二节奏,5,5.0,SD
627,心象蜃気楼,音击&中二节奏,7+,7.8,SD
627,心象蜃気楼,音击&中二节奏,11,11.0,SD
627,心象蜃気楼,音击&中二节奏,13,13.4,SD
628,光線チューニング,音击&中二节奏,6,6.0,SD
628,光線チューニング,音击&中二节奏,8,8.0,SD
628,光線チューニング,音击&中二节奏,11+,11.7,SD
628,光線チューニング,音击&中二节奏,13+,13.7,SD
629,Limit Break,舞萌,6,6.0,SD
629,Limit Break,舞萌,8,8.3,SD
629,Limit Break,舞萌,11,11.5,SD
629,Limit Break,舞萌,13,13.4,SD
629,Limit Break,舞萌,13+,13.7,SD
630,曖昧mind,舞萌,5,5.0,SD
630,曖昧mind,舞萌,8+,8.6,SD
630,曖昧mind,舞萌,11+,11.8,SD
630,曖昧mind,舞萌,13,13.4,SD
631,KING is BACK!!,舞萌,6,6.0,SD
631,KING is BACK!!,舞萌,8+,8.8,SD
631,KING is BACK!!,舞萌,11+,11.9,SD
631,KING is BACK!!,舞萌,13+,13.9,SD
632,Ultranova,舞萌,6,6.0,SD
632,Ultranova,舞萌,8+,8.6,SD
632,Ultranova,舞萌,12+,12.9,SD
632,Ultranova,舞萌,14,14.0,SD
634,GET!! 夢&DREAM,流行&动漫,4,4.0,SD
634,GET!! 夢&DREAM,流行&动漫,7+,7.8,SD
634,GET!! 夢&DREAM,流行&动漫,9+,9.8,SD
634,GET!! 夢&DREAM,流行&动漫,12,12.4,SD
636,日本の米は世界一,流行&动漫,4,4.0,SD
636,日本の米は世界一,流行&动漫,7,7.5,SD
636,日本の米は世界一,流行&动漫,10+,10.7,SD
636,日本の米は世界一,流行&动漫,13,13.3,SD
637,ないせんのうた,niconico & VOCALOID,5,5.0,SD
637,ないせんのうた,niconico & VOCALOID,6,6.8,SD
637,ないせんのうた,niconico & VOCALOID,10+,10.8,SD
637,ないせんのうた,niconico & VOCALOID,12+,12.7,SD
639,Starlight Dance Floor,东方Project,4,4.0,SD
639,Starlight Dance Floor,东方Project,7+,7.6,SD
639,Starlight Dance Floor,东方Project,10,10.2,SD
639,Starlight Dance Floor,东方Project,12,12.5,SD
640,妖精村の月誕祭 ～Lunate Elf,东方Project,4,4.0,SD
640,妖精村の月誕祭 ～Lunate Elf,东方Project,7,7.3,SD
640,妖精村の月誕祭 ～Lunate Elf,东方Project,10,10.5,SD
640,妖精村の月誕祭 ～Lunate Elf,东方Project,13,13.3,SD
641,Calamity Fortune,东方Project,7,7.0,SD
641,Calamity Fortune,东方Project,9,9.3,SD
641,Calamity Fortune,东方Project,12+,12.9,SD
641,Calamity Fortune,东方Project,14,14.2,SD
642,Justified,舞萌,5,5.0,SD
642,Justified,舞萌,9,9.0,SD
642,Justified,舞萌,12+,12.9,SD
642,Justified,舞萌,14,14.0,SD
643,Excalibur ～Revived resolution～,舞萌,5,5.0,SD
643,Excalibur ～Revived resolution～,舞萌,10,10.3,SD
643,Excalibur ～Revived resolution～,舞萌,13,13.0,SD
643,Excalibur ～Revived resolution～,舞萌,14+,14.8,SD
647,エイリアンエイリアン,niconico & VOCALOID,4,4.0,SD
647,エイリアンエイリアン,niconico & VOCALOID,8,8.0,SD
647,エイリアンエイリアン,niconico & VOCALOID,10,10.0,SD
647,エイリアンエイリアン,niconico & VOCALOID,12+,12.8,SD
648,My Dearest Song,音击&中二节奏,5,5.0,SD
648,My Dearest Song,音击&中二节奏,8,8.3,SD
648,My Dearest Song,音击&中二节奏,11+,11.8,SD
648,My Dearest Song,音击&中二节奏,13,13.3,SD
649,猛進ソリストライフ！,音击&中二节奏,7,7.0,SD
649,猛進ソリストライフ！,音击&中二节奏,9,9.5,SD
649,猛進ソリストライフ！,音击&中二节奏,12+,12.6,SD
649,猛進ソリストライフ！,音击&中二节奏,13+,13.7,SD
650,Let's Go Away,其他游戏,4,4.0,SD
650,Let's Go Away,其他游戏,7+,7.8,SD
650,Let's Go Away,其他游戏,10+,10.9,SD
650,Let's Go Away,其他游戏,12+,12.8,SD
654,真・ハンサム体操でズンドコホイ,流行&动漫,5,5.0,SD
654,真・ハンサム体操でズンドコホイ,流行&动漫,7,7.0,SD
654,真・ハンサム体操でズンドコホイ,流行&动漫,10,10.2,SD
654,真・ハンサム体操でズンドコホイ,流行&动漫,13,13.4,SD
655,フラジール,niconico & VOCALOID,5,5.0,SD
655,フラジール,niconico & VOCALOID,7+,7.8,SD
655,フラジール,niconico & VOCALOID,9+,9.8,SD
655,フラジール,niconico & VOCALOID,12+,12.8,SD
657,オーディエンスを沸かす程度の能力 feat.タイツォン,东方Project,4,4.0,SD
657,オーディエンスを沸かす程度の能力 feat.タイツォン,东方Project,8,8.0,SD
657,オーディエンスを沸かす程度の能力 feat.タイツォン,东方Project,10+,10.6,SD
657,オーディエンスを沸かす程度の能力 feat.タイツォン,东方Project,13+,13.7,SD
658,人里に下ったアタイがいつの間にか社畜になっていた件,其他游戏,5,5.0,SD
658,人里に下ったアタイがいつの間にか社畜になっていた件,其他游戏,9,9.0,SD
658,人里に下ったアタイがいつの間にか社畜になっていた件,其他游戏,13,13.2,SD
658,人里に下ったアタイがいつの間にか社畜になっていた件,其他游戏,14,14.0,SD
664,Moon of Noon,舞萌,7,7.0,SD
664,Moon of Noon,舞萌,9,9.0,SD
664,Moon of Noon,舞萌,13,13.1,SD
664,Moon of Noon,舞萌,14,14.4,SD
665,チルノのパーフェクトさんすう教室　⑨周年バージョン,东方Project,5,5.0,SD
665,チルノのパーフェクトさんすう教室　⑨周年バージョン,东方Project,7+,7.8,SD
665,チルノのパーフェクトさんすう教室　⑨周年バージョン,东方Project,10+,10.8,SD
665,チルノのパーフェクトさんすう教室　⑨周年バージョン,东方Project,13,13.4,SD
666,デスパレイト,舞萌,5,5.0,SD
666,デスパレイト,舞萌,8+,8.6,SD
666,デスパレイト,舞萌,11+,11.9,SD
666,デスパレイト,舞萌,13+,13.9,SD
670,ドーナツホール,niconico & VOCALOID,5,5.0,SD
670,ドーナツホール,niconico & VOCALOID,7+,7.6,SD
670,ドーナツホール,niconico & VOCALOID,11+,11.9,SD
670,ドーナツホール,niconico & VOCALOID,13+,13.6,SD
672,MilK,其他游戏,5,5.0,SD
672,MilK,其他游戏,7,7.3,SD
672,MilK,其他游戏,12+,12.6,SD
672,MilK,其他游戏,13+,13.8,SD
673,咲キ誇レ常世ノ華,舞萌,5,5.0,SD
673,咲キ誇レ常世ノ華,舞萌,8,8.0,SD
673,咲キ誇レ常世ノ華,舞萌,11+,11.8,SD
673,咲キ誇レ常世ノ華,舞萌,13,13.5,SD
674,Magical Flavor,舞萌,3,3.0,SD
674,Magical Flavor,舞萌,8,8.3,SD
674,Magical Flavor,舞萌,10+,10.6,SD
674,Magical Flavor,舞萌,13,13.3,SD
680,Candy Tall Woman,舞萌,6,6.0,SD
680,Candy Tall Woman,舞萌,7+,7.8,SD
680,Candy Tall Woman,舞萌,11+,11.8,SD
680,Candy Tall Woman,舞萌,13+,13.8,SD
681,Signature,舞萌,4,4.0,SD
681,Signature,舞萌,8+,8.6,SD
681,Signature,舞萌,12,12.4,SD
681,Signature,舞萌,13,13.5,SD
682,人生リセットボタン,niconico & VOCALOID,6,6.0,SD
682,人生リセットボタン,niconico & VOCALOID,8+,8.6,SD
682,人生リセットボタン,niconico & VOCALOID,11+,11.9,SD
682,人生リセットボタン,niconico & VOCALOID,13+,13.8,SD
683,しねばいいのに,niconico & VOCALOID,3,3.0,SD
683,しねばいいのに,niconico & VOCALOID,7,7.0,SD
683,しねばいいのに,niconico & VOCALOID,10,10.2,SD
683,しねばいいのに,niconico & VOCALOID,13,13.0,SD
684,もうみんなしねばいいのに,东方Project,5,5.0,SD
684,もうみんなしねばいいのに,东方Project,8,8.1,SD
684,もうみんなしねばいいのに,东方Project,12+,12.7,SD
684,もうみんなしねばいいのに,东方Project,14,14.0,SD
687,共感覚おばけ,niconico & VOCALOID,5,5.0,SD
687,共感覚おばけ,niconico & VOCALOID,7,7.2,SD
687,共感覚おばけ,niconico & VOCALOID,10+,10.9,SD
687,共感覚おばけ,niconico & VOCALOID,13,13.2,SD
688,麒麟,其他游戏,7,7.0,SD
688,麒麟,其他游戏,9,9.5,SD
688,麒麟,其他游戏,13,13.0,SD
688,麒麟,其他游戏,14,14.1,SD
689,Credits,其他游戏,5,5.0,SD
689,Credits,其他游戏,9,9.0,SD
689,Credits,其他游戏,13,13.3,SD
689,Credits,其他游戏,14+,14.6,SD
690,ダンスロボットダンス,niconico & VOCALOID,6,6.0,SD
690,ダンスロボットダンス,niconico & VOCALOID,8,8.0,SD
690,ダンスロボットダンス,niconico & VOCALOID,11,11.5,SD
690,ダンスロボットダンス,niconico & VOCALOID,13,13.3,SD
691,アルカリレットウセイ,niconico & VOCALOID,6,6.0,SD
691,アルカリレットウセイ,niconico & VOCALOID,7,7.3,SD
691,アルカリレットウセイ,niconico & VOCALOID,10+,10.8,SD
691,アルカリレットウセイ,niconico & VOCALOID,12+,12.7,SD
692,ドクハク,niconico & VOCALOID,5,5.0,SD
692,ドクハク,niconico & VOCALOID,7,7.5,SD
692,ドクハク,niconico & VOCALOID,10+,10.6,SD
692,ドクハク,niconico & VOCALOID,13,13.4,SD
693,キレキャリオン,niconico & VOCALOID,6,6.0,SD
693,キレキャリオン,niconico & VOCALOID,7,7.0,SD
693,キレキャリオン,niconico & VOCALOID,10,10.4,SD
693,キレキャリオン,niconico & VOCALOID,13,13.1,SD
694,猫祭り,音击&中二节奏,4,4.0,SD
694,猫祭り,音击&中二节奏,8,8.5,SD
694,猫祭り,音击&中二节奏,11+,11.8,SD
694,猫祭り,音击&中二节奏,13,13.4,SD
695,TRUST,音击&中二节奏,6,6.0,SD
695,TRUST,音击&中二节奏,7+,7.8,SD
695,TRUST,音击&中二节奏,11,11.4,SD
695,TRUST,音击&中二节奏,13,13.1,SD
696,Still,音击&中二节奏,5,5.0,SD
696,Still,音击&中二节奏,7+,7.6,SD
696,Still,音击&中二节奏,11,11.2,SD
696,Still,音击&中二节奏,13,13.4,SD
699,天狗の落とし文 feat. ｙｔｒ,东方Project,5,5.0,SD
699,天狗の落とし文 feat. ｙｔｒ,东方Project,7+,7.6,SD
699,天狗の落とし文 feat. ｙｔｒ,东方Project,11+,11.8,SD
699,天狗の落とし文 feat. ｙｔｒ,东方Project,12+,12.8,SD
700,疾走あんさんぶる,东方Project,6,6.0,SD
700,疾走あんさんぶる,东方Project,8+,8.6,SD
700,疾走あんさんぶる,东方Project,11+,11.7,SD
700,疾走あんさんぶる,东方Project,13+,13.7,SD
701,Doll Judgment,东方Project,5,5.0,SD
701,Doll Judgment,东方Project,8+,8.6,SD
701,Doll Judgment,东方Project,12,12.1,SD
701,Doll Judgment,东方Project,13+,13.8,SD
702,WARNING×WARNING×WARNING,东方Project,6,6.0,SD
702,WARNING×WARNING×WARNING,东方Project,7+,7.8,SD
702,WARNING×WARNING×WARNING,东方Project,10+,10.8,SD
702,WARNING×WARNING×WARNING,东方Project,12+,12.6,SD
704,SPILL OVER COLORS,舞萌,4,4.0,SD
704,SPILL OVER COLORS,舞萌,8,8.5,SD
704,SPILL OVER COLORS,舞萌,11+,11.8,SD
704,SPILL OVER COLORS,舞萌,13,13.3,SD
704,SPILL OVER COLORS,舞萌,13,13.4,SD
705,Mare Maris,舞萌,5,5.0,SD
705,Mare Maris,舞萌,9,9.3,SD
705,Mare Maris,舞萌,12,12.5,SD
705,Mare Maris,舞萌,13+,13.9,SD
706,シャルル,niconico & VOCALOID,5,5.0,SD
706,シャルル,niconico & VOCALOID,7,7.0,SD
706,シャルル,niconico & VOCALOID,9+,9.8,SD
706,シャルル,niconico & VOCALOID,12+,12.9,SD
707,フリィダム ロリィタ,niconico & VOCALOID,5,5.0,SD
707,フリィダム ロリィタ,niconico & VOCALOID,7,7.3,SD
707,フリィダム ロリィタ,niconico & VOCALOID,10,10.0,SD
707,フリィダム ロリィタ,niconico & VOCALOID,12+,12.6,SD
708,バレリーコ,niconico & VOCALOID,5,5.0,SD
708,バレリーコ,niconico & VOCALOID,7,7.3,SD
708,バレリーコ,niconico & VOCALOID,10+,10.7,SD
708,バレリーコ,niconico & VOCALOID,12+,12.6,SD
709,アウターサイエンス,niconico & VOCALOID,5,5.0,SD
709,アウターサイエンス,niconico & VOCALOID,8,8.0,SD
709,アウターサイエンス,niconico & VOCALOID,12+,12.7,SD
709,アウターサイエンス,niconico & VOCALOID,13,13.3,SD
710,REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,流行&动漫,5,5.0,SD
710,REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,流行&动漫,8,8.0,SD
710,REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,流行&动漫,10+,10.9,SD
710,REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,流行&动漫,13+,13.7,SD
711,拝啓ドッペルゲンガー,niconico & VOCALOID,5,5.0,SD
711,拝啓ドッペルゲンガー,niconico & VOCALOID,8,8.5,SD
711,拝啓ドッペルゲンガー,niconico & VOCALOID,12+,12.6,SD
711,拝啓ドッペルゲンガー,niconico & VOCALOID,13+,13.8,SD
712,ミラクル・ショッピング,流行&动漫,5,5.0,SD
712,ミラクル・ショッピング,流行&动漫,7,7.0,SD
712,ミラクル・ショッピング,流行&动漫,10+,10.8,SD
712,ミラクル・ショッピング,流行&动漫,12+,12.7,SD
713,Kinda Way,舞萌,4,4.0,SD
713,Kinda Way,舞萌,8+,8.6,SD
713,Kinda Way,舞萌,11+,11.8,SD
713,Kinda Way,舞萌,12+,12.9,SD
717,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,流行&动漫,6,6.0,SD
717,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,流行&动漫,8,8.5,SD
717,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,流行&动漫,11+,11.8,SD
717,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,流行&动漫,13,13.2,SD
719,エンドマークに希望と涙を添えて,音击&中二节奏,6,6.0,SD
719,エンドマークに希望と涙を添えて,音击&中二节奏,9+,9.6,SD
719,エンドマークに希望と涙を添えて,音击&中二节奏,12+,12.7,SD
719,エンドマークに希望と涙を添えて,音击&中二节奏,14,14.3,SD
720,ナンセンス文学,niconico & VOCALOID,5,5.0,SD
720,ナンセンス文学,niconico & VOCALOID,7+,7.8,SD
720,ナンセンス文学,niconico & VOCALOID,11+,11.7,SD
720,ナンセンス文学,niconico & VOCALOID,13+,13.6,SD
721,Bang Babang Bang!!!,音击&中二节奏,5,5.0,SD
721,Bang Babang Bang!!!,音击&中二节奏,8,8.5,SD
721,Bang Babang Bang!!!,音击&中二节奏,11+,11.6,SD
721,Bang Babang Bang!!!,音击&中二节奏,13,13.2,SD
722,Tic Tac DREAMIN’,音击&中二节奏,4,4.0,SD
722,Tic Tac DREAMIN’,音击&中二节奏,7,7.3,SD
722,Tic Tac DREAMIN’,音击&中二节奏,9,9.3,SD
722,Tic Tac DREAMIN’,音击&中二节奏,12,12.1,SD
723,SPICY SWINGY STYLE,音击&中二节奏,5,5.0,SD
723,SPICY SWINGY STYLE,音击&中二节奏,8+,8.6,SD
723,SPICY SWINGY STYLE,音击&中二节奏,11+,11.8,SD
723,SPICY SWINGY STYLE,音击&中二节奏,13,13.4,SD
725,砂の惑星 feat. HATSUNE MIKU,niconico & VOCALOID,2,2.0,SD
725,砂の惑星 feat. HATSUNE MIKU,niconico & VOCALOID,7+,7.6,SD
725,砂の惑星 feat. HATSUNE MIKU,niconico & VOCALOID,10+,10.7,SD
725,砂の惑星 feat. HATSUNE MIKU,niconico & VOCALOID,13,13.3,SD
726,アンノウン・マザーグース,niconico & VOCALOID,3,3.0,SD
726,アンノウン・マザーグース,niconico & VOCALOID,7,7.5,SD
726,アンノウン・マザーグース,niconico & VOCALOID,11,11.1,SD
726,アンノウン・マザーグース,niconico & VOCALOID,13,13.3,SD
731,妄想感傷代償連盟,niconico & VOCALOID,3,3.0,SD
731,妄想感傷代償連盟,niconico & VOCALOID,7,7.0,SD
731,妄想感傷代償連盟,niconico & VOCALOID,9+,9.8,SD
731,妄想感傷代償連盟,niconico & VOCALOID,11,11.4,SD
731,妄想感傷代償連盟,niconico & VOCALOID,13,13.2,SD
732,LOVE EAST,东方Project,5,5.0,SD
732,LOVE EAST,东方Project,7,7.3,SD
732,LOVE EAST,东方Project,10+,10.8,SD
732,LOVE EAST,东方Project,12+,12.8,SD
733,Fist Bump,其他游戏,5,5.0,SD
733,Fist Bump,其他游戏,8,8.5,SD
733,Fist Bump,其他游戏,11,11.4,SD
733,Fist Bump,其他游戏,13,13.0,SD
734,ENERGY SYNERGY MATRIX,其他游戏,6,6.0,SD
734,ENERGY SYNERGY MATRIX,其他游戏,7+,7.8,SD
734,ENERGY SYNERGY MATRIX,其他游戏,13,13.0,SD
734,ENERGY SYNERGY MATRIX,其他游戏,13+,13.9,SD
735,Session High⤴,音击&中二节奏,6,6.0,SD
735,Session High⤴,音击&中二节奏,7+,7.6,SD
735,Session High⤴,音击&中二节奏,10+,10.6,SD
735,Session High⤴,音击&中二节奏,12+,12.8,SD
736,World Vanquisher,音击&中二节奏,6,6.0,SD
736,World Vanquisher,音击&中二节奏,9+,9.6,SD
736,World Vanquisher,音击&中二节奏,12+,12.8,SD
736,World Vanquisher,音击&中二节奏,14,14.3,SD
737,FestivaLight,舞萌,4,4.0,SD
737,FestivaLight,舞萌,8,8.0,SD
737,FestivaLight,舞萌,10+,10.6,SD
737,FestivaLight,舞萌,13,13.4,SD
738,Brain Power,其他游戏,5,5.0,SD
738,Brain Power,其他游戏,8+,8.7,SD
738,Brain Power,其他游戏,11+,11.8,SD
738,Brain Power,其他游戏,13,13.4,SD
739,進め！イッスン軍団 -Rebellion of the Dwarfs-,东方Project,6,6.0,SD
739,進め！イッスン軍団 -Rebellion of the Dwarfs-,东方Project,8,8.5,SD
739,進め！イッスン軍団 -Rebellion of the Dwarfs-,东方Project,11,11.3,SD
739,進め！イッスン軍団 -Rebellion of the Dwarfs-,东方Project,13+,13.7,SD
740,ULTRA B+K,其他游戏,6,6.0,SD
740,ULTRA B+K,其他游戏,8+,8.6,SD
740,ULTRA B+K,其他游戏,11+,11.9,SD
740,ULTRA B+K,其他游戏,13+,13.9,SD
741,インビジブル,niconico & VOCALOID,6,6.0,SD
741,インビジブル,niconico & VOCALOID,8,8.0,SD
741,インビジブル,niconico & VOCALOID,11,11.5,SD
741,インビジブル,niconico & VOCALOID,12,12.3,SD
741,インビジブル,niconico & VOCALOID,13+,13.7,SD
742,彗星ハネムーン,niconico & VOCALOID,4,4.0,SD
742,彗星ハネムーン,niconico & VOCALOID,7,7.3,SD
742,彗星ハネムーン,niconico & VOCALOID,10,10.5,SD
742,彗星ハネムーン,niconico & VOCALOID,12,12.5,SD
745,keep hopping,舞萌,6,6.0,SD
745,keep hopping,舞萌,8+,8.6,SD
745,keep hopping,舞萌,12+,12.6,SD
745,keep hopping,舞萌,13+,13.9,SD
746,larva,舞萌,7,7.0,SD
746,larva,舞萌,9,9.3,SD
746,larva,舞萌,12+,12.9,SD
746,larva,舞萌,14+,14.8,SD
750,初音ミクの激唱,niconico & VOCALOID,7,7.0,SD
750,初音ミクの激唱,niconico & VOCALOID,8+,8.8,SD
750,初音ミクの激唱,niconico & VOCALOID,12,12.4,SD
750,初音ミクの激唱,niconico & VOCALOID,14,14.5,SD
752,true my heart -Lovable mix-,流行&动漫,4,4.0,SD
752,true my heart -Lovable mix-,流行&动漫,7,7.0,SD
752,true my heart -Lovable mix-,流行&动漫,10,10.3,SD
752,true my heart -Lovable mix-,流行&动漫,12,12.5,SD
753,Rodeo Machine,流行&动漫,3,3.0,SD
753,Rodeo Machine,流行&动漫,7,7.3,SD
753,Rodeo Machine,流行&动漫,11,11.1,SD
753,Rodeo Machine,流行&动漫,13+,13.8,SD
756,CYBER Sparks,东方Project,4,4.0,SD
756,CYBER Sparks,东方Project,7+,7.8,SD
756,CYBER Sparks,东方Project,11+,11.8,SD
756,CYBER Sparks,东方Project,12,12.5,SD
756,CYBER Sparks,东方Project,13+,13.8,SD
757,Xevel,音击&中二节奏,5,5.0,SD
757,Xevel,音击&中二节奏,8+,8.8,SD
757,Xevel,音击&中二节奏,12+,12.9,SD
757,Xevel,音击&中二节奏,14,14.3,SD
758,INFINITE WORLD,东方Project,5,5.0,SD
758,INFINITE WORLD,东方Project,8,8.2,SD
758,INFINITE WORLD,东方Project,10+,10.8,SD
758,INFINITE WORLD,东方Project,12+,12.6,SD
759,サドマミホリック,东方Project,6,6.0,SD
759,サドマミホリック,东方Project,8+,8.6,SD
759,サドマミホリック,东方Project,11+,11.6,SD
